COMPANY,RANK,RANK_CHANGE,REVENUE,PROFIT,NUM_OF_EMPLOYEES,SECTOR,CITY,STATE,NEWCOMER,CEO_FOUNDER,CEO_WOMAN,PROFITABLE,PREV_RANK,CEO,WEBSITE,TICKER,MARKET_CAP,CEO_NAME,CEO_DOB,DOB_MMDD,DOB_YYYY,MISSING_DOBS,BIRTH_CITY,BIRTH_STATE,ORIGIN_STATE,CURRENT_RESIDENCE,CEO_BACH_MAJOR,CEO_BACH_SCHOOL,CEO_MAST_MAJOR,CEO_MAST_SCHOOL,PHD,DROPPED_OUT,YR_TURNED_CEO,PREVIOUSLY_CEO,SECOND_MAST_MAJOR,SECOND_MAST_SCHOOL,THIRD_MAST_MAJOR,THIRD_MAST_SCHOOL,ZODIAC,AGE,AGE_TURNED_CEO
New York Life Insurance,72,-5,51199,277,14344,Financials,New York,NY,no,no,no,yes,67,Craig DeSanto,www.newyorklife.com,,,Craig DeSanto,,,,,,,,NY,Actuarial Science,Cornell,no,no,no,no,11/1/2022,no,,,,,,,
Caterpillar,73,5,50971,6489,107700,Industrials,Deerfield,IL,no,no,no,yes,78,D. James Umpleby III,www.caterpillar.com,CAT,95735,D. James Umpleby III,1/1/1958,1/1/2023,11/1/1958,"MMDD missing, default to 1/1",Highland,IN,IN,,Mechanical Engineering,Rose-Hulman Institute of Technology,no,no,no,no,11/1/2017,no,,,,,,65,59
Cisco Systems,74,-11,49818,10591,79500,Technology,San Jose,CA,no,no,no,yes,63,Charles H. Robbins,www.cisco.com,CSCO,182327,Charles H. Robbins,,,,,Grayson,GA,NC,CA,Mathematics,"University of North Carolina, Chapel Hill",no,no,no,no,11/1/2015,no,,,,,,,
TJX,75,22,48550,3283,340000,Retailing,Framingham,MA,no,no,no,yes,97,Ernie L. Herrman,www.tjx.com,TJX,73403,Ernie L. Herrman,1/1/1961,1/1/2023,11/1/1961,"MMDD missing, default to 1/1",,,,,,Boston College,no,no,no,no,11/1/2016,no,,,,,,62,55
Publix Super Markets,76,-7,48394,4412,232000,Food & Drug Stores,Lakeland,FL,no,no,no,yes,69,Randall T. Jones Sr.,www.publix.com,,,Randall T. Jones Sr.,,,,,,,FL,FL,no,no,no,no,no,no,11/1/2008,no,,,,,,,
ConocoPhillips,77,79,48349,8079,9900,Energy,Houston,TX,no,no,no,yes,156,Ryan M. Lance,www.conocophillips.com,COP,114444,Ryan M. Lance,5/21/1962,5/21/2023,11/1/1962,,Blytheville,AR,MT,TX,Petroleum Engineering,Montana Technological University,no,no,no,no,11/1/2012,no,,,,,Gemini,61,50
Liberty Mutual Insurance Group,78,-7,48200,3068,45000,Financials,Boston,MA,no,no,no,yes,71,David H. Long,www.libertymutual.com,,,David H. Long,1/1/1961,1/1/2023,11/1/1961,"MMDD missing, default to 1/1",Liverpool,United Kingdom,,MA,Mathematics,Hartwick College,Finance,Boston College,honorary,no,11/1/2011,no,,,,,,62,50
Progressive,79,-5,47702,3351,49077,Financials,Mayfield Village,OH,no,no,yes,yes,74,Susan Patricia Griffith,www.progressive.com,PGR,65485,Susan Patricia Griffith,10/4/1964,10/4/2023,11/1/1964,,,IL,IL,OH,Marketing,Illinois State University,Management,UPenn,no,no,11/1/2016,no,,,,,Libra,59,52
Nationwide,80,-4,47376,1617,24134,Financials,Columbus,OH,no,no,no,yes,76,Kirt A. Walker,www.nationwide.com,,,Kirt A. Walker,,,,,Hamlin,NY,IA,OH,Business Administration,Iowa State,MBA,American College,no,no,11/1/2019,no,,,,,,,
Tyson Foods,81,-8,47049,3047,137000,"Food, Beverages & Tobacco",Springdale,AR,no,no,no,yes,73,Donnie D. King,www.tysonfoods.com,TSN,30189,Donnie D. King,,,,,,,,,Business Administration,"University of Arkansas, Monticello",no,no,no,no,11/1/2021,no,,,,,,,
Bristol-Myers Squibb,82,-7,46385,6994,32200,Health Care,New York,NY,no,no,no,yes,75,Giovanni Caforio,www.bms.com,BMY,155720,Giovanni Caforio,10/27/1964,10/27/2023,11/1/1964,,,Italy,Italy,,Medicine,University of Rome,MD,University of Rome,Dr,no,11/1/2015,no,,,,,Scorpio,59,51
Nike,83,2,44538,5727,73300,Apparel,Beaverton,OR,no,no,no,yes,85,John J. Donahoe II,www.nike.com,NKE,171840,John J. Donahoe II,4/30/1960,4/30/2023,11/1/1960,,Evanston,IL,IL,CA,Economics,Darmouth,MBA,Stanford,no,no,11/1/2020,yes,,,,,Taurus,63,60
Deere,84,4,44024,5963,75550,Industrials,Moline,IL,no,no,no,yes,88,John C. May,www.deere.com,DE,95233,John C. May,,,,,,,,IL,,University of New Hampshire,MBA,University of Maine,no,no,11/1/2019,no,,,,,,,
American Express,85,-2,43663,8060,64000,Financials,New York,NY,no,no,no,yes,83,Stephen J. Squeri,www.americanexpress.com,AXP,111287,Stephen J. Squeri,1/1/1959,1/1/2023,11/1/1959,"MMDD missing, default to 1/1",Queens,NY,NY,NJ,,Manhattan College,MBA,Manhattan College,no,no,11/1/2018,no,,,,,,64,59
Abbott Laboratories,86,3,43075,7071,113000,Health Care,Abbott Park,IL,no,no,no,yes,89,Robert B. Ford,www.abbott.com,ABT,192481,Robert B. Ford,,,,,,Brazil,Brazil,CA,Communication,Boston College,MBA,UC Berkeley,no,no,11/1/2020,no,,,,,,,
StoneX Group,87,-29,42534,116,3242,Financials,New York,NY,no,no,no,yes,58,Sean M. O'Connor,www.stonex.com,SNEX,1699,Sean M. O'Connor,,,,,,,,NY,Accounting and Management,University of Cape Town,no,no,no,no,11/1/2002,yes,,,,,,,
Plains GP Holdings,88,39,42078,60,4100,Energy,Houston,TX,no,no,no,yes,127,Wilfred C.W. Chiang,www.plains.com,PAGP,2131,Wilfred C.W. Chiang,1/1/1961,1/1/2023,11/1/1961,"MMDD missing, default to 1/1",,,,TX,Mechanical Engineering,South Dakota School of Mines & Tech,Advanced Management,UPenn,no,no,11/1/2018,no,,,,,,62,57
Enterprise Products Partners,89,16,40807,4638,6911,Energy,Houston,TX,no,no,no,yes,105,A. James Teague,www.enterpriseproducts.com,EPD,55122,A. James Teague,,,,,Shreveport,LA,LA,TX,,East Texas Baptist University,no,no,honorary,no,11/1/2016,no,,,,,,,
Enterprise Products Partners,89,16,40807,4638,6911,Energy,Houston,TX,no,no,no,yes,105,W. Randall Fowler,www.enterpriseproducts.com,EPD,55122,W. Randall Fowler,1/1/1957,1/1/2023,11/1/1957,"MMDD missing, default to 1/1",,,,,Accounting,Louisiana Tech,MBA,Louisiana Tech,no,no,11/1/2020,no,,,,,,66,63
TIAA,90,-11,40526,4061,15065,Financials,New York,NY,no,no,yes,yes,79,Thasunda Brown Duckett,www.tiaa.org,,,Thasunda Brown Duckett,7/22/1973,7/22/2023,11/1/1973,,Rochester,NY,TX,CT,Finance and Marking,University of Houston,MBA,Baylor,no,no,11/1/2021,"yes, at external subsidiary",,,,,Cancer,50,48
Oracle,91,-11,40479,13746,132000,Technology,Austin,TX,no,no,yes,yes,80,Safra A. Catz,www.oracle.com,ORCL,192514,Safra A. Catz,12/1/1961,12/1/2023,11/1/1961,,Holon,Israel,MA,CA,Economics,UPenn,JD,UPenn,no,no,11/1/2014,no,,,,,Sagittarius,62,53
Thermo Fisher Scientific,92,3,39211,7725,129000,Technology,Waltham,MA,no,no,no,yes,95,Marc Casper,https://www.thermofisher.com,TMO,202645,Marc Casper,3/10/1968,3/10/2023,11/1/1968,,New York City,NY,MA,MA,Finance,Wesleyan,MBA,Harvard,no,no,11/1/2009,yes,,,,,Pisces,55,41
Coca-Cola,93,0,38655,9771,79000,"Food, Beverages & Tobacco",Atlanta,GA,no,no,no,yes,93,James R. Quincey,www.coca-colacompany.com,KO,271069,James R. Quincey,1/8/1965,1/8/2023,11/1/1965,,London,United Kingdom,United Kingdom,GA,Electronic Engineering,University of Liverpool,no,no,no,no,11/1/2017,no,,,,,Capricorn,58,52
General Dynamics,94,-10,38469,3257,103100,Aerospace & Defense,Reston,VA,no,no,yes,yes,84,Phebe N. Novakovic,www.gd.com,GD,59618,Phebe N. Novakovic,1/1/1957,1/1/2023,11/1/1957,"MMDD missing, default to 1/1",,VA,,VA,Government and German,Smith College,MBA,UPenn,no,no,11/1/2013,no,,,,,,66,56
CHS,95,8,38448,554,9941,"Food, Beverages & Tobacco",Inver Grove Heights,MN,no,no,no,yes,103,Jay D. Debertin,www.chsinc.com,,,Jay D. Debertin,,,,,,,MN,MN,Economics,"University of North Dakota, Grand Forks",MBA,University of Wisconsin-Madison,no,no,11/1/2017,no,,,,,,,
USAA,96,-9,37470,3300,37335,Financials,San Antonio,TX,no,no,no,yes,87,Wayne Peacock,www.usaa.com,,,Wayne Peacock,,,,,,,,TX,Economics,Tulane,Advanced Management,UPenn,no,no,11/1/2020,no,,,,,,,
Northwestern Mutual,97,-7,36751,978,7585,Financials,Milwaukee,WI,no,no,no,yes,90,John E. Schlifske,www.northwesternmutual.com,,,John E. Schlifske,3/27/1959,3/27/2023,11/1/1959,,,WI,WI,WI,Economics,Carleton College,MBA,Northwestern,no,no,11/1/2010,"yes, of internal subsidiary",,,,,Aries,64,51
Nucor,98,51,36484,6828,28800,Materials,Charlotte,NC,no,no,no,yes,149,Leon J. Topalian,www.nucor.com,NUE,31183,Leon J. Topalian,,,,,Effingham,SC,,NC,Marine Engineering,Massachusetts Maritime Academy,no,no,no,no,11/1/2020,no,,,,,,,
Exelon,99,-7,36347,1706,31518,Energy,Chicago,IL,no,no,no,yes,92,Christopher M. Crane,www.exeloncorp.com,EXC,42832,Christopher M. Crane,,,,,,,,IL,Electrical Technology,New Hampshire Technical College,Advanced Management,Harvard,no,no,11/1/2012,no,,,,,,,
Williams-Sonoma,420,5,8246,1126,16600,Retailing,San Francisco,CA,no,no,yes,yes,425,Laura J. Alber,https://www.williams-sonomainc.com,WSM,10376,Laura J. Alber,9/7/1968,9/7/2023,11/1/1968,,,,,CA,Psychology,UPenn,no,no,no,no,11/1/2010,no,,,,,Virgo,55,42
Autoliv,421,-29,8230,435,58176,Motor Vehicles & Parts,Auburn Hills,MI,no,no,no,yes,392,Mikael Bratt,https://www.autoliv.com,ALV,6691,Mikael Bratt,1/1/1967,1/1/2023,11/1/1967,"MMDD missing, default to 1/1",,,Sweden,,Business Administration,"University of Gothenburg, Sweden",no,no,no,no,11/1/2018,no,,,,,,56,51
Arthur J. Gallagher,422,-6,8209,907,39000,Financials,Rolling Meadows,IL,no,no,no,yes,416,J. Patrick Gallagher Jr.,https://www.ajg.com,AJG,36599,J. Patrick Gallagher Jr.,,,,,,,,IL,Political Science,Cornell,no,no,no,no,11/1/1995,no,,,,,,,
Public Service Enterprise Group,362,-44,9722,-648,12684,Energy,Newark,NJ,no,no,no,no,318,Ralph A. LaRossa,https://www.pseg.com,PEG,35146,Ralph A. LaRossa,,,,,Jersey City,NJ,NJ,NJ,,Stevens Institute of Technology,Advanced Management,Harvard,no,no,11/1/2022,no,,,,,,,
United Rentals,363,-11,9716,1386,20400,Business Services,Stamford,CT,no,no,no,yes,352,Matthew J. Flannery,https://www.unitedrentals.com,URI,25643,Matthew J. Flannery,,,,,,,,FL,Finance,Hofstra,no,no,no,no,11/1/2019,no,,,,,,,
MGM Resorts International,364,0,9680,1254,60500,"Hotels, Restaurants & Leisure",Las Vegas,NV,yes,no,no,yes,,William J. Hornbuckle,https://www.mgmresorts.com,MGM,18258,William J. Hornbuckle,,,,,,Japan,CT,NV,Hotel Administration,"University of Nevada, Las Vegas",no,no,no,no,11/1/2020,no,,,,,,,
Ryder System,365,-8,9663,519,42800,Transportation,Miami,FL,no,no,no,yes,357,Robert E. Sanchez,https://www.ryder.com,R,4055,Robert E. Sanchez,,,,,,,FL,FL,Electrical and Computer Engineering,University of Miami,MBA,UPenn,no,no,11/1/2013,no,,,,,,,
Intuit,366,14,9633,2062,17350,Technology,Mountain View,CA,no,no,no,yes,380,Sasan K. Goodarzi,https://www.intuit.com,INTU,135988,Sasan K. Goodarzi,7/7/1968,7/7/2023,11/1/1968,,Tehran,Iran,FL,CA,Electrical Engineering,University of Central Florida,MBA,Northwestern,no,no,11/1/2019,yes,,,,,Cancer,55,51
Cincinnati Financial,367,19,9630,2946,5166,Financials,Fairfield,OH,no,no,no,yes,386,Steven J. Johnston,https://www.cinfin.com,CINF,21813,Steven J. Johnston,,,,,,,,OH,,Otterbein College,no,no,no,no,11/1/2011,,,,,,,,
Erie Insurance Group,368,-21,9620,1130,5805,Financials,Erie,PA,no,no,no,yes,347,Timothy G. NeCastro,https://www.erieinsurance.com,,,Timothy G. NeCastro,,,,,,,PA,PA,Finance and Accounting,Gannon University,no,no,honorary,no,11/1/2016,no,,,,,,,
Univar Solutions,369,-7,9536,461,9450,Wholesalers,Downers Grove,IL,no,no,no,yes,362,David C. Jukes,https://www.univarsolutions.com,UNVR,5460,David C. Jukes,,,,,,,United Kingdom,,,London Business School,no,no,no,no,11/1/2019,no,,,,,,,
Huntington Ingalls Industries,370,-43,9524,544,44000,Aerospace & Defense,Newport News,VA,no,no,no,yes,327,Christopher D. Kastner,https://www.huntingtoningalls.com,HII,7991,Christopher D. Kastner,,,,,,,,VA,Political Science,University of California Santa Barbara,MBA,Pepperdine,no,no,11/1/2022,no,,,,,,,
W.R. Berkley,371,1,9456,1023,7681,Financials,Greenwich,CT,no,no,no,yes,372,W. Robert Berkley Jr.,https://www.berkley.com,WRB,17659,W. Robert Berkley Jr.,,,,,,,CT,CT,,Georgetown University,,,,no,11/1/2015,no,,,,,,,
Western & Southern Financial Group,372,2,9442,361,2538,Financials,Cincinnati,OH,no,no,no,yes,374,John F. Barrett,https://www.westernsouthern.com,,,John F. Barrett,3/16/1949,3/16/2023,11/1/1949,,,,OH,OH,Business Administration,University of Cincinnati,no,no,honorary,no,11/1/1994,"yes, at external subsidiary",,,,,Pisces,74,45
Insight Enterprises,373,-13,9436,219,11624,Technology,Tempe,AZ,no,no,yes,yes,360,Joyce A. Mullen,https://www.insight.com,NSIT,3745,Joyce A. Mullen,,,,,,,,,International Relations,Brown,MBA,Harvard,no,no,11/1/2022,no,,,,,,,
News Corp.,374,-37,9358,330,24000,Media,New York,NY,no,no,no,yes,337,Robert J. Thomson,https://www.newscorp.com,NWSA,13128,Robert J. Thomson,3/11/1961,3/11/2023,11/1/1961,,,Australia,Australia,NY,,,,,honorary,no,11/1/2013,no,,,,,Pisces,62,52
American Tower,375,0,9357,2568,6378,Financials,Boston,MA,no,no,no,yes,375,Thomas A. Bartlett,https://www.americantower.com,AMT,114527,Thomas A. Bartlett,,,,,,,,,Industrial Engineering,Lehigh University,MBA,Rutgers,no,no,11/1/2020,yes,,,,,,,
Old Republic International,376,25,9342,1534,9600,Financials,Chicago,IL,no,no,no,yes,401,Craig R. Smiddy,https://www.oldrepublic.com,ORI,7973,Craig R. Smiddy,,,,,,,,IL,Business Administration,University of Iowa,MBA,University of Iowa,no,no,11/1/2019,no,,,,,,,
Burlington Stores,377,94,9322,409,38599,Retailing,Burlington,NJ,no,no,no,yes,471,Michael B. O'Sullivan,https://www.burlingtoninvestors.com,BURL,12113,Michael B. O'Sullivan,,,,,,,,CA,"Economics, Politics",University of Oxford,MBA,Columbia,no,no,11/1/2019,no,,,,,,,
Avis Budget Group,378,120,9313,1285,18500,Retailing,Parsippany,NJ,no,no,no,yes,498,Joseph A. Ferraro,https://www.avisbudgetgroup.com,CAR,14157,Joseph A. Ferraro,,,,,,,,NJ,,Syracuse,no,no,no,no,11/1/2020,no,,,,,,,
ODP,379,-67,9267,-208,26000,Retailing,Boca Raton,FL,no,no,no,no,312,Gerry P. Smith,https://www.officedepot.com,ODP,2222,Gerry P. Smith,1/1/1963,1/1/2023,11/1/1963,"MMDD missing, default to 1/1",,,,FL,,Pacific Lutheran University,no,no,no,no,11/1/2017,no,,,,,,60,54
VF Corp.,380,-117,9239,408,33600,Apparel,Denver,CO,no,no,no,yes,263,Steven Rendle,https://www.vfc.com,VFC,11620,Steven Rendle,,,,,,,,CO,Kinesiology,University of Washington,no,no,no,no,11/1/2017,no,,,,,,,
Bed Bath & Beyond,381,-101,9233,-151,37600,Retailing,Union,NJ,no,no,yes,no,280,Sue Gove,https://www.bedbathandbeyond.com,BBBY,2171,Sue Gove,1/1/1958,1/1/2023,11/1/1958,"MMDD missing, default to 1/1",Houston,TX,TX,,Finance,"University of Texas, Austin",no,no,no,no,11/1/2022,no,,,,,,65,64
Seaboard,382,24,9229,570,13200,"Food, Beverages & Tobacco",Merriam,KS,no,no,no,yes,406,Robert L. Steer,https://www.seaboardcorp.com,SEB,4882,Robert L. Steer,1/1/1960,1/1/2023,11/1/1960,"MMDD missing, default to 1/1",,,,KS,,,,,no,no,11/1/2020,no,,,,,,63,60
First American Financial,383,26,9221,1241,22233,Financials,Santa Ana,CA,no,no,no,yes,409,Kenneth D. DeGiorgio,https://www.firstam.com,FAF,7087,Kenneth D. DeGiorgio,,,,,,,,,,,MBA,Harvard,no,no,11/1/2022,no,JD,UCLA,,,,,
Intercontinental Exchange,384,-19,9168,4058,8858,Financials,Atlanta,GA,no,yes,no,yes,365,Jeffrey C. Sprecher,https://www.ice.com,ICE,74045,Jeffrey C. Sprecher,2/23/1955,2/23/2023,11/1/1955,,Madison,WI,WI,GA,Chemical Engineering,University of Wisconsin-Madison,MBA,Pepperdine,no,no,11/1/2000,founder,,,,,Pisces,68,45
PVH,385,19,9155,952,25000,Apparel,New York,NY,no,no,no,yes,404,Stefan Larsson,https://www.pvh.com,PVH,5210,Stefan Larsson,1/1/1974,1/1/2023,11/1/1974,"MMDD missing, default to 1/1",,Sweden,Sweden,,,,MBA,Hanken School of Economics,no,no,11/1/2021,yes,,,,,,49,47
Apollo Global Management,386,0,9124,1839,2153,Financials,New York,NY,yes,yes,no,yes,,Marc Rowan,https://www.apollo.com,APO,37194,Marc Rowan,8/19/1962,8/19/2023,11/1/1962,,Long Island,NY,NY,NY,Finance,UPenn,MBA,UPenn,no,no,11/1/2021,founder,,,,,Leo,61,59
Jefferies Financial Group,387,32,9040,1674,5556,Financials,New York,NY,no,no,no,yes,419,Richard Handler,https://www.jefferies.com,JEF,7248,Richard Handler,5/23/1961,5/23/2023,11/1/1961,,,,NJ,,Economics,University of Rochester,MBA,Stanford,no,no,11/1/2001,no,,,,,Gemini,62,40
Hershey,388,-18,8971,1478,17805,"Food, Beverages & Tobacco",Hershey,PA,no,no,yes,yes,370,Michele G. Buck,https://www.thehersheycompany.com,HSY,44462,Michele G. Buck,,,,,,PA,PA,PA,Business Administration,Shippensburg University,MBA,"University of North Carolina, Chapel Hill",no,no,11/1/2017,no,,,,,,,
NVR,389,-6,8970,1237,6600,Engineering & Construction,Reston,VA,no,no,no,yes,383,Eugene J. Bredow,https://www.nvrinc.com,NVR,15011,Eugene J. Bredow,,,,,,,,VA,Accounting,University of Maryland,no,no,no,no,11/1/2022,no,,,,,,,
Foot Locker,390,-5,8958,893,33244,Retailing,New York,NY,no,no,yes,yes,385,Mary N. Dillon,https://www.footlocker.com/corp,FL,2850,Mary N. Dillon,,,,,Chicago,IL,IL,IL,Marketing,"University of Illinois, Chicago",no,no,no,no,11/1/2022,yes,,,,,,,
Dana,391,17,8945,197,40200,Motor Vehicles & Parts,Maumee,OH,no,no,no,yes,408,James K. Kamsickas,https://www.dana.com,DAN,2544,James K. Kamsickas,1/1/1967,1/1/2023,11/1/1967,"MMDD missing, default to 1/1",Port Huron,MI,MI,,Business Administration,Central Michigan University,MBA,Michigan State,honorary,no,11/1/2015,yes,,,,,,56,48
SpartanNash,392,-63,8931,74,13300,Wholesalers,Byron Center,MI,no,no,no,yes,329,Tony B. Sarsam,https://www.spartannash.com,SPTN,1185,Tony B. Sarsam,1/1/1962,1/1/2023,11/1/1962,"MMDD missing, default to 1/1",,,,,Chemical Engineering,Arizona State University,MBA,Stanford,no,no,11/1/2020,yes,,,,,,61,58
Olin,393,79,8911,1297,7750,Chemicals,Clayton,MO,no,no,no,yes,472,Scott M. Sutton,https://www.olin.com,OLN,8062,Scott M. Sutton,,,,,,,,,Engineering,Louisiana State University,no,no,no,no,11/1/2020,yes,,,,,,,
Chewy,394,9,8891,-74,21300,Retailing,Dania Beach,FL,no,no,no,no,403,Sumit Singh,https://www.chewy.com,CHWY,17147,Sumit Singh,,,,,,,,,Industrial Engineering,Punjab Technical University,MBA,University of Chicago,no,no,11/1/2018,no,Operations and Logistics,"University of Texas, Austin",,,,,
Jackson Financial,395,0,8848,3183,3150,Financials,Lansing,MI,yes,no,yes,yes,,Laura L. Prieskorn,https://www.jackson.com,JXN,3895,Laura L. Prieskorn,,,,,,,,,Business Administration,Central Michigan University,no,no,no,no,11/1/2021,no,,,,,,,
Activision Blizzard,396,-23,8803,2699,9800,Media,Santa Monica,CA,no,no,no,yes,373,Robert A. Kotick,https://www.activisionblizzard.com,ATVI,62560,Robert A. Kotick,1/1/1963,1/1/2023,11/1/1963,"MMDD missing, default to 1/1",Long Island,NY,NY,CA,Art History,"University of Michigan, Ann Arbor",no,no,no,yes,11/1/2008,yes,,,,,,60,45
Toll Brothers,397,14,8790,834,5100,Engineering & Construction,Fort Washington,PA,no,no,no,yes,411,Douglas C. Yearley Jr.,https://www.tollbrothers.com,TOL,5515,Douglas C. Yearley Jr.,,,,,,,,NJ,Economics,Cornell,JD,Rutgers,no,no,11/1/2010,no,,,,,,,
Carlyle Group,398,0,8782,2975,1850,Financials,Washington,DC,yes,no,no,yes,,William Conway Jr.,https://www.carlyle.com,CG,9539,William Conway Jr.,8/27/1949,8/27/2023,11/1/1949,,Lowell,MA,,VA,,Darmouth,MBA,University of Chicago,honorary,no,11/1/1987,founder,,,,,Virgo,74,38
Graybar Electric,399,0,8767,262,8800,Wholesalers,St. Louis,MO,no,no,yes,yes,399,Kathleen M. Mazzarella,https://www.graybar.com,,,Kathleen M. Mazzarella,,,,,,,MO,MO,Applied Behavioral Sciences,National Louis University,MBA,Webster University,no,no,11/1/2012,no,,,,,,,
Ovintiv,400,58,8658,1416,1713,Energy,Denver,CO,no,no,no,yes,458,Brendan M. McCracken,https://www.ovintiv.com,OVV,13988,Brendan M. McCracken,,,,,,,Canada,CO,Mechanical Engineering,Queens University,MBA,University of Oxford,no,no,11/1/2021,no,,,,,,,
UFP Industries,401,0,8636,536,15000,Materials,Grand Rapids,MI,yes,no,no,yes,,Matthew Missad,https://www.ufpi.com,UFPI,4471,Matthew Missad,1/1/1961,1/1/2023,11/1/1961,"MMDD missing, default to 1/1",,,MI,MI,,Hope College,Law,Western Michigan University,no,no,11/1/2011,no,,,,,,62,50
Ulta Beauty,402,49,8631,986,28500,Retailing,Bolingbrook,IL,no,no,no,yes,451,David C. Kimbell,https://www.ulta.com,ULTA,20838,David C. Kimbell,,,,,,,IN,IL,Economics,DePauw,MBA,Purdue,no,no,11/1/2021,no,,,,,,,
Constellation Brands,403,-44,8615,1998,9300,"Food, Beverages & Tobacco",Victor,NY,no,no,no,yes,359,William A. Newlands,https://www.cbrands.com,STZ,43764,William A. Newlands,1/1/1958,1/1/2023,11/1/1958,"MMDD missing, default to 1/1",,,,IL,Marketing,UPenn,MBA,Harvard,no,no,11/1/2019,yes,,,,,,65,61
Expedia Group,404,0,8598,12,14800,Retailing,Seattle,WA,yes,no,no,yes,,Peter M. Kern,https://www.expediagroup.com,EXPE,30477,Peter M. Kern,,,,,,,NY,,,UPenn,no,no,no,no,11/1/2020,yes,,,,,,,
CommScope Holding,405,-49,8587,-463,30000,Technology,Hickory,NC,no,no,no,no,356,Charles L. Treadway,https://www.commscope.com,COMM,1630,Charles L. Treadway,,,,,,,,,Electrical Engineering,"University of Louisiana, Lafayette",Electrical Engineering,Clemson,no,no,11/1/2020,yes,MBA,Harvard,,,,,
Celanese,406,71,8537,1890,8529,Chemicals,Irving,TX,no,no,yes,yes,477,Lori J. Ryerkerk,https://www.celanese.com,CE,15434,Lori J. Ryerkerk,,,,,,,IA,TX,Chemical Engineering,Iowa State,no,no,no,no,11/1/2019,no,,,,,,,
Global Payments,407,-13,8524,966,25000,Business Services,Atlanta,GA,no,no,no,yes,394,Jeffrey S. Sloan,https://www.globalpayments.com,GPN,38546,Jeffrey S. Sloan,,,,,,,,GA,Finance,UPenn,JD,NYU,no,no,11/1/2013,no,,,,,,,
Owens Corning,408,5,8498,995,20000,Materials,Toledo,OH,no,no,no,yes,413,Brian D. Chambers,https://www.owenscorning.com,OC,9065,Brian D. Chambers,,,,,,,,,,Bowling Green State University,MBA,Northwestern,no,no,11/1/2019,no,,,,,,,
Campbell Soup,409,-74,8476,1002,14100,"Food, Beverages & Tobacco",Camden,NJ,no,no,no,yes,335,Mark A. Clouse,https://www.campbellsoupcompany.com,CPB,13447,Mark A. Clouse,7/5/1968,7/5/2023,11/1/1968,,,,OH,NJ,Economics,United States Military Academy,no,no,no,no,11/1/2019,yes,,,,,Cancer,55,51
Huntsman,410,50,8453,1045,9000,Chemicals,The Woodlands,TX,no,no,no,yes,460,Peter R. Huntsman,https://www.huntsman.com,HUN,8047,Peter R. Huntsman,3/13/1963,3/13/2023,11/1/1963,,Palo Alto,CA,,,,,,,no,no,11/1/2000,no,,,,,Pisces,60,37
Franklin Resources,411,73,8426,1831,10300,Financials,San Mateo,CA,no,no,yes,yes,484,Jennifer M. Johnson,https://www.franklinresources.com,BEN,14019,Jennifer M. Johnson,,,,,Morristown,NJ,,,Economics,University of California Davis,no,no,no,no,11/1/2020,no,,,,,,,
Avery Dennison,412,5,8408,740,36000,Materials,Glendale,CA,no,no,no,yes,417,Mitchell R. Butier,https://www.averydennison.com,AVY,14327,Mitchell R. Butier,,,,,,,,,Accounting,Loyola Marymount University,no,no,no,no,11/1/2016,no,,,,,,,
Masco,413,-15,8375,410,20000,Household Products,Livonia,MI,no,no,no,yes,398,Keith J. Allman,https://www.masco.com,MAS,12063,Keith J. Allman,,,,,,NY,,,Mechanical Engineering,Kettering University,MBA,University of Michigan,no,no,11/1/2014,no,,,,,,,
CenterPoint Energy,414,-72,8352,1486,9418,Energy,Houston,TX,no,no,no,yes,342,David J. Lesar,https://www.centerpointenergy.com,CNP,19286,David J. Lesar,5/30/1953,5/30/2023,11/1/1953,,Madison,WI,WI,,,University of Wisconsin-Madison,MBA,University of Wisconsin-Madison,no,no,11/1/2020,yes,,,,,Gemini,70,67
Advance Auto Parts,337,-36,10998,616,54500,Retailing,Raleigh,NC,no,no,no,yes,301,Thomas R. Greco,https://www.advanceautoparts.com,AAP,12645,Thomas R. Greco,,,,,,Canada,Canada,NC,Sports Administration,Laurentian University,MBA,Western University,no,no,11/1/2016,"yes, at external subsidiary",,,,,,,
Biogen,338,-110,10982,1556,9610,Health Care,Cambridge,MA,no,no,no,yes,228,Michel Vounatsos,https://www.biogen.com,BIIB,30950,Michel Vounatsos,1/1/1961,1/1/2023,11/1/1961,"MMDD missing, default to 1/1",,Morocco,Morocco,MA,Medicine,"Université Victor Segalen, Bordeaux II, France",MBA,HEC Paris,no,no,11/1/2017,no,,,,,,62,56
Auto-Owners Insurance,339,2,10980,1318,6441,Financials,Lansing,MI,no,no,no,yes,341,Jeffrey S. Tagsold,https://www.auto-owners.com,,,Jeffrey S. Tagsold,1/1/1963,1/1/2023,11/1/1963,"MMDD missing, default to 1/1",,,MI,MI,Actuarial Science,Central Michigan University,,,no,no,11/1/2018,no,,,,,,60,55
Booking Holdings,340,84,10958,1165,20199,Technology,Norwalk,CT,no,no,no,yes,424,Glenn D. Fogel,https://www.bookingholdings.com,BKNG,96023,Glenn D. Fogel,1/1/1977,1/1/2023,11/1/1977,"MMDD missing, default to 1/1",Denver,CO,NY,NY,Economics,UPenn,JD,Harvard,no,no,11/1/2017,no,,,,,,46,40
